AccelX1, AccelY1, AccelZ1, GyroX1, GyroY1, GyroZ1, AccelX2, AccelY2, AccelZ2, GyroX2, GyroY2, GyroZ2
-1.18,0.56,9.97,0.01,-0.22,-0.01,-1.16,0.92,10.16,0.13,-0.09,-0.10
-1.05,0.47,9.88,-0.01,-0.22,0.03,-1.09,0.82,9.97,-0.01,-0.18,0.02
-0.97,0.32,9.90,-0.02,-0.16,0.06,-0.96,0.81,10.02,-0.03,-0.12,0.05
-0.80,0.34,9.76,-0.04,-0.07,0.08,-0.96,0.81,10.02,-0.03,-0.12,0.05
-0.95,0.35,9.82,-0.04,-0.05,0.09,-0.90,0.71,9.85,-0.04,-0.01,0.08
-1.04,0.27,9.78,-0.03,-0.02,0.09,-1.03,0.63,9.90,-0.05,0.02,0.08
-1.13,0.25,9.78,0.02,-0.01,0.08,-1.16,0.57,9.89,0.00,0.04,0.09
-1.20,0.25,9.77,0.06,-0.02,0.09,-1.16,0.57,9.89,0.00,0.04,0.09
-1.18,0.32,9.75,0.09,-0.04,0.09,-1.14,0.61,9.80,0.05,0.03,0.08
-1.24,0.36,9.80,0.10,-0.04,0.09,-1.28,0.65,9.94,0.08,0.01,0.09
-1.29,0.46,9.79,0.11,-0.08,0.08,-1.32,0.76,9.79,0.11,-0.01,0.09
-1.28,0.55,9.75,0.10,-0.10,0.08,-1.32,0.76,9.79,0.11,-0.01,0.09
-1.21,0.64,9.70,0.11,-0.15,0.07,-1.19,0.88,9.66,0.09,-0.04,0.07
-1.22,0.63,9.84,0.06,-0.13,0.07,-1.31,0.98,9.94,0.08,-0.09,0.07
-1.14,0.73,9.73,0.05,-0.12,0.07,-1.16,1.04,9.82,0.05,-0.07,0.07
-1.15,0.73,9.77,0.03,-0.13,0.08,-1.16,1.04,9.82,0.05,-0.07,0.07
-1.07,0.72,9.69,0.01,-0.14,0.10,-1.12,1.06,9.80,0.02,-0.07,0.09
-1.04,0.70,9.76,0.00,-0.14,0.10,-1.04,1.07,9.81,0.00,-0.09,0.10
-0.98,0.70,9.74,-0.00,-0.13,0.10,-0.98,1.05,9.80,-0.02,-0.08,0.10
-0.95,0.69,9.79,-0.01,-0.11,0.10,-0.98,1.05,9.80,-0.02,-0.08,0.10
-0.97,0.68,9.92,-0.03,-0.07,0.09,-0.98,1.00,9.89,-0.02,-0.05,0.10
-0.99,0.60,9.78,-0.04,-0.03,0.10,-0.96,0.96,9.95,-0.05,-0.00,0.09
-1.01,0.57,9.76,-0.03,-0.03,0.11,-1.04,0.88,9.83,-0.04,0.03,0.11
