AccelX1, AccelY1, AccelZ1, GyroX1, GyroY1, GyroZ1, AccelX2, AccelY2, AccelZ2, GyroX2, GyroY2, GyroZ2
-0.03,-0.26,9.86,0.06,-0.11,-0.02,-0.03,0.08,9.90,0.03,-0.05,-0.01
-0.03,-0.26,9.87,0.06,-0.11,-0.02,-0.04,0.08,9.90,0.03,-0.05,-0.01
-0.03,-0.25,9.88,0.06,-0.11,-0.02,-0.03,0.08,9.92,0.03,-0.05,-0.01
-0.03,-0.26,9.88,0.06,-0.11,-0.02,-0.03,0.09,9.93,0.03,-0.05,-0.01
-0.03,-0.25,9.88,0.06,-0.11,-0.01,-0.03,0.09,9.93,0.03,-0.05,-0.01
-0.03,-0.26,9.89,0.06,-0.11,-0.02,-0.04,0.09,9.93,0.03,-0.05,-0.01
-0.03,-0.25,9.88,0.06,-0.11,-0.02,-0.03,0.09,9.93,0.03,-0.05,-0.01
-0.03,-0.25,9.88,0.06,-0.11,-0.02,-0.04,0.09,9.94,0.03,-0.05,-0.01
-0.03,-0.26,9.89,0.06,-0.11,-0.02,-0.04,0.09,9.94,0.03,-0.05,-0.01
-0.03,-0.25,9.89,0.05,-0.11,-0.02,-0.03,0.09,9.95,0.03,-0.05,-0.01
-0.03,-0.25,9.89,0.06,-0.11,-0.02,-0.03,0.08,9.94,0.03,-0.05,-0.01
-0.03,-0.25,9.90,0.06,-0.11,-0.02,-0.03,0.09,9.94,0.03,-0.05,-0.01
-0.03,-0.25,9.90,0.06,-0.11,-0.02,-0.04,0.09,9.95,0.03,-0.05,-0.01
-0.03,-0.25,9.90,0.06,-0.11,-0.02,-0.04,0.09,9.95,0.03,-0.05,-0.01
-0.02,-0.25,9.90,0.05,-0.11,-0.01,-0.04,0.08,9.95,0.03,-0.05,-0.01
-0.02,-0.26,9.90,0.06,-0.11,-0.02,-0.03,0.08,9.96,0.03,-0.05,-0.01
-0.03,-0.26,9.89,0.06,-0.11,-0.02,-0.03,0.09,9.95,0.03,-0.05,-0.01
-0.02,-0.25,9.90,0.06,-0.11,-0.02,-0.03,0.09,9.95,0.03,-0.05,-0.01
-0.03,-0.25,9.90,0.06,-0.11,-0.01,-0.03,0.09,9.95,0.03,-0.05,-0.01
-0.03,-0.26,9.90,0.06,-0.11,-0.02,-0.04,0.09,9.95,0.03,-0.05,-0.01
-0.02,-0.25,9.89,0.05,-0.11,-0.02,-0.04,0.09,9.96,0.03,-0.05,-0.01
-0.02,-0.25,9.90,0.06,-0.11,-0.02,-0.04,0.09,9.96,0.03,-0.05,-0.01
-0.03,-0.25,9.91,0.06,-0.11,-0.02,-0.04,0.08,9.96,0.03,-0.05,-0.01
-0.03,-0.25,9.90,0.06,-0.11,-0.01,-0.03,0.09,9.95,0.03,-0.05,-0.01
-0.02,-0.25,9.91,0.06,-0.11,-0.02,-0.04,0.09,9.95,0.03,-0.05,-0.01
-0.03,-0.25,9.90,0.05,-0.11,-0.02,-0.04,0.09,9.95,0.03,-0.05,-0.01
-0.03,-0.25,9.91,0.06,-0.11,-0.01,-0.04,0.09,9.96,0.03,-0.05,-0.01
-0.03,-0.25,9.91,0.05,-0.11,-0.02,-0.04,0.09,9.96,0.03,-0.05,-0.01
-0.03,-0.25,9.90,0.06,-0.11,-0.01,-0.03,0.09,9.96,0.03,-0.05,-0.01
-0.03,-0.25,9.91,0.06,-0.11,-0.02,-0.04,0.08,9.95,0.03,-0.05,-0.01
-0.03,-0.25,9.91,0.06,-0.11,-0.02,-0.04,0.08,9.95,0.03,-0.05,-0.01
-0.02,-0.25,9.90,0.06,-0.11,-0.01,-0.04,0.08,9.95,0.03,-0.05,-0.01
-0.04,-0.26,9.91,0.06,-0.11,-0.01,-0.03,0.09,9.96,0.03,-0.05,-0.01
